Idioma,Age:,Education:,Country,Do you have experience or work with GIS (Geographic Information System)?,What is your level of fluency in English:,"Active mappers are those who make changes to the platform at least 42 days a year. Do you consider yourself an active mapper? (If you have any questions, you can check at https://hdyc.neis-one.org/).",How long have you been involved in the OSM community?,How often do you visit and use OSM.org?,How did you learn about OpenStreetMap:,What do you use OSM data for?,What is your main involvement with OpenStreetMap?,I use OSM.org...,How often do you use GPS navigation apps?,Which of these definitions do you think best describes OSM?,How often do you write a note in OSM?,How often do you use notes to map or close them in OSM?,Do you use tools to export OSM data?,How often do you use export tools?,Which of these GPS navigation apps do you use most in your day-to-day life?,What formats do you usually download map data in:,Which of these export tools do you use most often?,General,Search (Nominatim),Historic and Changeset,Login,Notes,Profile,Messages,Diary,Settings,Navigation and routing in OSM.org,Help tab,About tab,Export directly in OSM.org,Carto (Default view),GPS Tracks,Search results (Nominatim):,Viewing the search results:,History:,Visualization of the Changest:,Navigating the OpenStreetMap website:,Tags:,Get information about POIs (Point of Interest):,Communication and finding the mappers on the website:,Corporate and bot profiles should be easy to recognize:,would like to see statistics on my profile and other users:,"Other open address data sources (e.g., OpenAddress) could be integrated into the search bar."
English (United Kingdom)‎,25-34 years old,Master's Degree,Russia,Working with GIS,Advanced,Yes,1 to 5 years,More than once a day,Work,I use it for work;I use it for navigation/GPS,Hobbyist/community;Humanitarian,To check the history of edits and comments;To see the rendered data;To edit,1 time a week,Geographic database,1 time a month,1 time a month,Yes,1 time a month,Yandex Maps,Shapefile,QuickOSM Plugin in QGIS,4,3,4,5,4,4,3,5,4,4,5,5,,5,4,Neutral - Neither imprecise nor precise,Confusing,Very clear,Neutral - Neither confusing nor clear,Simple,Neutral - Neither complicated nor simple,Simple,Simple,Strongly agree,Strongly agree,Neither agree nor disagree
English (United Kingdom)‎,25-34 years old,Undergraduate or Bachelor's degree,Georgia,I have little or no experience with GIS,Advanced,Yes,1 to 5 years,More than once a day,Application that uses OSM data,I use it for navigation/GPS,Hobbyist/community;Dev,To see the rendered data;To check the history of edits and comments;To edit,More than once a day,Geographic database,I can't remember or I don't use it,1 time a week,No,,OSMAnd;Organic Maps,,,4,5,4,5,4,5,4,,4,4,4,5,4,4,4,Imprecise,Neutral - Neither confusing nor clear,Clear,Neutral - Neither confusing nor clear,Simple,Neutral - Neither complicated nor simple,Complicated,Complicated,Strongly agree,More or less agree,Neither agree nor disagree
"Español (España, alfabetización internacional)",35-44 years old,Undergraduate or Bachelor's degree,Argentina,I have little or no experience with GIS,Advanced,Yes,More than 10 years,2 times per week,Web Search,I use it for navigation/GPS;I use it for work,Hobbyist/community,To see the rendered data;To check the history of edits and comments;To edit,1 time a month,Collaborative map,1 time a month,I can't remember or I don't use it,Yes,1 time a month,Google Maps;Organic Maps;OSMAnd,GeoJSON / JSON / XML,Overpass Turbo,2,1,2,5,4,2,2,4,4,3,1,4,2,2,1,Very imprecise,Confusing,Confusing,Confusing,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Complicated,Complicated,Strongly agree,Strongly agree,Strongly agree
English (United Kingdom)‎,18-24 years old,High School,Canada,I have no experience with GIS or work,Native,Yes,Less than 1 year,2 times per week,"Social Media (Facebook, X (Twitter), Instagram)",I use it for navigation/GPS;I use it academically (school or college),Hobbyist/community;YouthMappers,To edit;To have more option on mapping apps;To check the history of edits and comments,2 times per week,Collaborative map,1 time a month,1 time a month,No,,Organic Maps;Apple Maps;Google Maps,,,4,1,2,5,3,4,3,3,3,2,3,3,3,3,3,Very imprecise,Very confusing,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Simple,Very complicated,Complicated,Simple,Strongly agree,More or less agree,Neither agree nor disagree
English (United Kingdom)‎,45-54 years old,High School,Russia,I have no experience with GIS or work,Basic,Yes,5 to 10 years,1 time per day,Application that uses OSM data,I use it for navigation/GPS,Hobbyist/community,To edit;To check the history of edits and comments;To see the rendered data,2 times per week,Geographic database,1 time a week,1 time a week,No,,Organic Maps;Magic Earth,,,4,5,5,4,5,5,5,5,5,5,5,5,5,5,3,,,,,,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,,,
"Español (España, alfabetización internacional)",35-44 years old,Master's Degree,Spain,Working with GIS,Intermediary,Yes,More than 10 years,1 time per day,Web Search,I use it for navigation/GPS,Humanitarian;Hobbyist/community,To edit;To see the rendered data;To check the history of edits and comments,1 time per day,Geographic database,1 time a month,1 time a week,Yes,1 time a month,Organic Maps;Waze;Google Maps;OSMAnd,Shapefile;.ai / psd / SVG;JPG / PNG,Directly in OSM.org;Overpass Turbo,5,3,5,5,3,4,5,5,4,4,4,4,5,5,4,Imprecise,Neutral - Neither confusing nor clear,Clear,Clear,Simple,Complicated,Simple,Simple,Strongly agree,Strongly agree,More or less agree
English (United Kingdom)‎,18-24 years old,Undergraduate or Bachelor's degree,Canada,I have no experience with GIS or work,Native,No,Less than 1 year,1 time a week,Web Search,I use it for navigation/GPS,Hobbyist/community,To see the rendered data;To edit,1 time a week,Collaborative map,1 time a month,I can't remember or I don't use it,No,,OSMAnd;Google Maps,,,4,4,,5,,5,,,,,,,,5,,Neutral - Neither imprecise nor precise,Clear,Clear,,Simple,Neutral - Neither complicated nor simple,Very Simple,Simple,Strongly agree,More or less agree,More or less agree
English (United Kingdom)‎,Under 18 years old,High School,Kazakhstan,I have no experience with GIS or work,Basic,Yes,Less than 1 year,1 time per day,Web Search,I use it for work,Hobbyist/community,To edit;To see the rendered data,1 time a week,Collaborative map,I can't remember or I don't use it,2 times per week,No,,2gis;Google Maps;OSMAnd,,,5,4,5,5,5,5,5,5,5,4,5,5,5,5,4,Neutral - Neither imprecise nor precise,Clear,Very clear,Very Clear,Simple,Very Simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,More or less agree,More or less agree,More or less agree
"Español (España, alfabetización internacional)",25-34 years old,Doctorate/PhD,Spain,I have no experience with GIS or work,Intermediary,No,1 to 5 years,1 time a week,Application that uses OSM data,I use it for navigation/GPS,Hobbyist/community,To edit;To check the history of edits and comments,1 time a week,Collaborative map,I can't remember or I don't use it,1 time a month,No,,OSMAnd,,,4,2,4,4,5,4,4,3,4,2,4,3,3,3,4,Imprecise,Confusing,Clear,Clear,Simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,More or less agree,Neither agree nor disagree,More or less agree
English (United Kingdom)‎,25-34 years old,Master's Degree,Slovakia,Working with GIS,Advanced,Yes,1 to 5 years,2 times per week,I don't remember,I use it for work;I use it for navigation/GPS,Hobbyist/community;Government,To see the rendered data;To edit,1 time a month,Geographic database,1 time a month,I can't remember or I don't use it,Yes,1 time a month,OSMAnd,Shapefile;GeoJSON / JSON / XML,Overpass Turbo;APIs and/or Plugins,4,3,4,4,4,,,,,2,,,,,,Neutral - Neither imprecise nor precise,Clear,,,Simple,Neutral - Neither complicated nor simple,Very Simple,Neutral - Neither complicated nor simple,Strongly agree,Strongly disagree,More or less agree
English (United Kingdom)‎,18-24 years old,High School,Argentina,I have little or no experience with GIS,Advanced,Yes,1 to 5 years,1 time per day,Application that uses OSM data,I use it for navigation/GPS,Hobbyist/community,To see the rendered data;Add and edit Notes,More than once a day,Geographic database,1 time a month,1 time a month,No,,OSMAnd,,,5,3,5,5,5,3,5,3,4,4,5,5,5,4,4,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Simple,Simple,Complicated,Neutral - Neither complicated nor simple,Strongly agree,Strongly agree,Strongly agree
Deutsch,35-44 years old,Undergraduate or Bachelor's degree,Germany,I have no experience with GIS or work,Advanced,Yes,More than 10 years,More than once a day,Through a friend or family member,I use it for navigation/GPS;Increase data knowledge about the environment globally,Humanitarian;Hobbyist/community;Dev,To see the rendered data;To check the history of edits and comments;Add and edit Notes,1 time a month,Wikipedia of maps,I can't remember or I don't use it,1 time a week,Yes,More than once a day,OSMAnd;Google Maps,JPG / PNG;.OSM / .PBF,Directly in OSM.org;Overpass Turbo;GeoFabrik,3,4,4,3,4,4,4,2,4,2,3,3,5,5,2,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,Confusing,Confusing,Complicated,Simple,Very Complicated,Simple,More or less agree,Strongly agree,More or less agree
English (United Kingdom)‎,45-54 years old,Master's Degree,France,I have little or no experience with GIS,Advanced,Yes,5 to 10 years,More than once a day,I don't remember,I use it for navigation/GPS,Hobbyist/community,To see the rendered data;To edit;Add and edit Notes,2 times per week,Geographic database,I can't remember or I don't use it,1 time a month,No,,Organic Maps;OSMAnd;MyTrails,,,4,3,,,5,,,5,,3,,,,4,,Neutral - Neither imprecise nor precise,Clear,Confusing,Confusing,Simple,Neutral - Neither complicated nor simple,Complicated,,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
English (United Kingdom)‎,25-34 years old,Undergraduate or Bachelor's degree,India,I have little or no experience with GIS,Advanced,Yes,More than 10 years,2 times per week,Application that uses OSM data,I use it for navigation/GPS;I use it for work,Humanitarian;Hobbyist/community,To see the rendered data;To check the history of edits and comments;To edit,2 times per week,Wikipedia of maps,I can't remember or I don't use it,1 time a month,Yes,1 time a month,Organic Maps;OSMAnd;Google Maps,.OSM / .PBF;GeoJSON / JSON / XML,Overpass Turbo;APIs and/or Plugins;GeoFabrik,3,3,3,5,3,4,2,3,3,3,3,4,3,3,3,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Confusing,Simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,More or less disagree,Neither agree nor disagree,Neither agree nor disagree
English (United Kingdom)‎,35-44 years old,Master's Degree,Russia,Working with GIS,Intermediary,Yes,More than 10 years,2 times per week,Through a friend or family member,I use it for navigation/GPS,Hobbyist/community;Dev,To see the rendered data;To check the history of edits and comments;To upload GPS traces,More than once a day,Collaborative map,I can't remember or I don't use it,2 times per week,Yes,1 time a month,"OSMAnd;Yandex Maps, 2Gis",JPG / PNG,Overpass Turbo,5,4,5,5,4,5,3,3,5,4,5,5,5,5,5,Neutral - Neither imprecise nor precise,Clear,Clear,Neutral - Neither confusing nor clear,Simple,Simple,Simple,Simple,Strongly agree,More or less agree,More or less agree
English (United Kingdom)‎,35-44 years old,Master's Degree,Andorra,I have little or no experience with GIS,Advanced,No,5 to 10 years,2 times per week,Web Search,I use it for navigation/GPS;I use it for work;I use it academically (school or college),Hobbyist/community,To check the history of edits and comments;To edit;Add and edit Notes,1 time a week,Wikipedia of maps,1 time a month,1 time a month,No,,OSMAnd;https://apps.gnome.org/Maps/,,,4,1,3,5,5,5,5,,,3,,,,5,5,Imprecise,Confusing,Very confusing,Very confusing,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Simple,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
English (United Kingdom)‎,Under 18 years old,High School,Finland,I have little or no experience with GIS,Advanced,Yes,1 to 5 years,1 time a week,Application that uses OSM data,I use it for navigation/GPS,Hobbyist/community,To see the rendered data;To check the history of edits and comments;To edit,1 time a month,Geographic database,I can't remember or I don't use it,I can't remember or I don't use it,No,,OSMAnd;Google Maps,,,4,3,4,5,4,4,4,3,5,4,,,,3,,Precise,Very clear,Very clear,Very Clear,Simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Complicated,More or less agree,Strongly agree,More or less agree
English (United Kingdom)‎,25-34 years old,Undergraduate or Bachelor's degree,Philippines,I have little or no experience with GIS,Advanced,Yes,More than 10 years,More than once a day,Application that uses OSM data,I use it for navigation/GPS,Hobbyist/community,Add and edit Notes;To edit;To check the history of edits and comments,More than once a day,Collaborative map,I can't remember or I don't use it,1 time a week,Yes,2 times per week,Waze;Organic Maps,GeoJSON / JSON / XML;JPG / PNG,Overpass Turbo;Directly in OSM.org,5,4,4,5,5,4,3,4,4,4,4,4,4,5,4,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,Clear,Neutral - Neither confusing nor clear,Simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,More or less agree,Strongly agree,Neither agree nor disagree
English (United Kingdom)‎,Under 18 years old,High School,Russia,I have no experience with GIS or work,Intermediary,Yes,1 to 5 years,1 time per day,Application that uses OSM data,I use it for navigation/GPS,Hobbyist/community,To see the rendered data;To check the history of edits and comments;To upload GPS traces,2 times per week,Collaborative map,I can't remember or I don't use it,1 time a month,No,,OSMAnd;Yandex Maps,,,4,3,4,5,4,5,5,,5,4,,,,3,4,Neutral - Neither imprecise nor precise,Very confusing,Clear,Confusing,Simple,Simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Strongly agree,Strongly agree,More or less agree
English (United Kingdom)‎,18-24 years old,Undergraduate or Bachelor's degree,Italy,I have no experience with GIS or work,Intermediary,Yes,1 to 5 years,More than once a day,Web Search,I use it for navigation/GPS,Hobbyist/community,To see the rendered data;To edit,More than once a day,Geographic database,1 time a month,I can't remember or I don't use it,No,,Google Maps;Apple Maps;OSMAnd,,,5,4,5,5,5,4,4,4,4,5,4,4,4,4,4,Precise,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Simple,Neutral - Neither complicated nor simple,Simple,Neutral - Neither complicated nor simple,Strongly agree,Strongly agree,Strongly agree
English (United Kingdom)‎,35-44 years old,Master's Degree,United States,I have no experience with GIS or work,Advanced,Yes,Less than 1 year,1 time a week,Web Search,I use it for navigation/GPS,Hobbyist/community,To edit;To see the rendered data,1 time per day,Wikipedia of maps,1 time a month,I can't remember or I don't use it,No,,Organic Maps;Google Maps,,,3,1,3,5,,4,,5,4,2,3,3,,3,,Very imprecise,Very confusing,Confusing,Confusing,Neutral - Neither complicated nor simple,Complicated,Very Complicated,Very Simple,Strongly agree,Strongly agree,More or less agree
"Español (España, alfabetización internacional)",55-64 years old,Doctorate/PhD,Argentina,Working with GIS,Intermediary,Yes,More than 10 years,2 times per week,Web Search,I use it academically (school or college);I use it for work;I use it for navigation/GPS,Government,To upload GPS traces;To edit;Add and edit Notes,1 time a week,Geographic database,I can't remember or I don't use it,1 time a month,Yes,1 time a month,Organic Maps;OSMAnd,GeoJSON / JSON / XML;CSV,Overpass Turbo,5,5,5,5,5,,5,5,,4,,,,5,5,Precise,Clear,Clear,Clear,Very Simple,Simple,Very Simple,Simple,Strongly agree,Strongly agree,Strongly agree
English (United Kingdom)‎,45-54 years old,High School,Russia,I have little or no experience with GIS,Basic,Yes,Less than 1 year,2 times per week,Web Search,I use it for navigation/GPS,Hobbyist/community;Humanitarian,To see the rendered data;To upload GPS traces;To edit,More than once a day,Collaborative map,1 time a month,1 time a month,No,,Yandex map;OSMAnd;Google Maps,,,5,3,3,5,3,3,1,1,3,4,3,3,4,4,5,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Simple,Complicated,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Strongly agree,More or less agree,Neither agree nor disagree
